[0.014s] Invoking command in '/home/harmeet/rbe500_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/harmeet/rbe500_ws/build/open_manipulator_x_description -- -j16 -l16
[0.233s] Invoked command in '/home/harmeet/rbe500_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/harmeet/rbe500_ws/build/open_manipulator_x_description -- -j16 -l16
[0.254s] Invoking command in '/home/harmeet/rbe500_ws/build/open_manipulator_x_description': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/harmeet/rbe500_ws/build/open_manipulator_x_description
[0.261s] -- Install configuration: ""
[0.261s] -- Execute custom install script
[0.261s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/.DS_Store
[0.261s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/launch/open_manipulator_x_rviz.launch.py
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link1.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link2.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link3.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link4.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link5.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_l.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/meshes/chain_link_grip_r.stl
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/rviz/open_manipulator_x.rviz
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/materials.xacro
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.gazebo.xacro
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.transmission.xacro
[0.262s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x.urdf.xacro
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/urdf/open_manipulator_x_robot.urdf.xacro
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/ament_index/resource_index/package_run_dependencies/open_manipulator_x_description
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/ament_index/resource_index/parent_prefix_path/open_manipulator_x_description
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.sh
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/ament_prefix_path.dsv
[0.263s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.sh
[0.264s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/environment/path.dsv
[0.264s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.bash
[0.264s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.sh
[0.264s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.zsh
[0.264s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/local_setup.dsv
[0.264s] -- Symlinking: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.dsv
[0.269s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/ament_index/resource_index/packages/open_manipulator_x_description
[0.269s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig.cmake
[0.269s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/cmake/open_manipulator_x_descriptionConfig-version.cmake
[0.269s] -- Up-to-date symlink: /home/harmeet/rbe500_ws/install/open_manipulator_x_description/share/open_manipulator_x_description/package.xml
[0.271s] Invoked command in '/home/harmeet/rbe500_ws/build/open_manipulator_x_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/harmeet/rbe500_ws/build/open_manipulator_x_description
